"Zone Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0
NL,Fr,28,Export,"€133,98","€197,14","€231,12","€280,51","€309,89","€341,28","€392,39","€417,45","€476,83","€512,04","€547,26","€563,73","€580,18","€602,09","€655,63","€714,71","€768,57","€828,55","€859,21"
NL,Fr,29,Export,"€147,77","€210,85","€247,21","€298,57","€343,92","€377,45","€456,51","€484,15","€559,26","€614,95","€670,62","€833,76","€996,88","€1.018,78","€1.116,73","€1.220,42","€1.311,48","€1.416,09","€1.476,48"
NL,Fr,30,Export,"€154,40","€221,81","€260,05","€361,70","€420,69","€459,01","€530,59","€561,23","€640,33","€706,04","€771,77","€888,05","€1.004,33","€1.026,23","€1.124,17","€1.227,87","€1.326,35","€1.430,96","€1.483,91"
NL,Fr,31,Export,"€151,07","€219,06","€256,84","€356,45","€423,16","€461,64","€538,25","€569,20","€685,51","€715,36","€745,22","€798,07","€850,93","€893,16","€968,50","€1.051,65","€1.128,69","€1.210,62","€1.251,16"
NL,Fr,32,Export,"€157,48","€224,54","€263,27","€388,02","€428,12","€466,90","€544,63","€575,85","€693,48","€719,98","€746,48","€905,17","€1.063,86","€1.085,76","€1.183,66","€1.294,80","€1.400,72","€1.512,76","€1.573,16"
NL,Fr,33,Export,"€143,78","€206,74","€242,39","€384,07","€420,69","€459,01","€522,92","€553,26","€617,74","€673,26","€728,78","€764,90","€801,02","€827,10","€898,64","€992,93","€1.062,23","€1.137,64","€1.182,41"
NL,Fr,34,Export,"€148,01","€213,58","€250,41","€361,70","€420,69","€459,01","€530,59","€561,23","€640,33","€706,04","€771,77","€834,95","€898,14","€928,26","€1.002,45","€1.108,88","€1.183,57","€1.264,37","€1.315,87"
NL,Fr,35,Export,"€135,85","€195,86","€229,61","€276,20","€312,98","€344,57","€400,31","€425,68","€482,18","€523,31","€564,45","€683,93","€803,43","€817,88","€901,06","€982,44","€1.058,62","€1.140,91","€1.186,43"
NL,Fr,36,Export,"€133,30","€187,56","€219,87","€301,20","€330,31","€362,98","€423,31","€449,60","€508,76","€551,14","€593,52","€646,38","€699,25","€713,70","€782,06","€856,01","€917,31","€992,17","€1.030,25"
NL,Fr,37,Export,"€136,05","€188,93","€221,48","€301,20","€335,27","€368,25","€409,26","€434,98","€490,15","€519,09","€548,01","€623,62","€699,25","€713,70","€782,06","€856,01","€917,31","€992,17","€1.030,25"
