Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-0.9,LDM-1.0,LDM-1.1,LDM-1.2,LDM-1.3,LDM-1.4,LDM-1.5,LDM-1.6,LDM-1.7,LDM-1.8,LDM-1.9,LDM-2,LDM-2.1,LDM-2.2,LDM-2.3,LDM-2.4,LDM-2.5,LDM-2.6,LDM-2.7,LDM-2.8,LDM-2.9,LDM-3,LDM-3.1,LDM-3.2,LDM-3.3,LDM-3.4,LDM-3.5,LDM-3.6,LDM-3.7,LDM-3.8,LDM-3.9,LDM-4,LDM-4.1,LDM-4.2,LDM-4.3,LDM-4.4,LDM-4.5,LDM-4.6,LDM-4.7,LDM-4.8,LDM-4.9,LDM-5,LDM-5.1,LDM-5.2,LDM-5.3,LDM-5.4,LDM-5.5,LDM-5.6,LDM-5.7,LDM-5.8,LDM-5.9,LDM-6
NL,SE,10,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,11,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,12,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,13,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,14,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,15,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,16,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,17,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,18,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
NL,SE,19,Export,€258,€282,€331,€356,€382,€409,€434,€461,€486,€511,€538,€563,€590,€615,€640,€667,€692,€718,€743,€768,€793,€819,€844,€869,€894,€920,€945,€967,€989,€1.011,€1.033,€1.055,€1.077,€1.099,€1.121,€1.144,€1.166,€1.188,€1.210,€1.232,€1.254,€1.276,€1.298,€1.320,€1.342,€1.364,€1.386,€1.407,€1.427,€1.448,€1.468,€1.489,€1.508,€1.528,€1.549,€1.569,€1.590
