Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.6,LDM-6.0,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0
NL,AT,88,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,89,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,90,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,91,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,92,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,93,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,94,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,95,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,96,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,97,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,98,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,99,Export,"€149,06","€246,15","€291,92","€409,80","€463,65","€526,91","€614,12","€663,02","€788,89","€859,56","€940,55","€996,83","€1.017,11","€1.057,87","€1.073,68","€1.089,49","€1.106,40","€1.121,11","€1.134,72","€1.148,34","€1.164,15","€1.179,96","€1.196,86","€1.211,57","€1.225,19","€1.238,81","€1.253,52","€1.287,67","€1.358,17"
