Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6,
NL,DE,52,Import,74.01,95.18,105.75,158.62,177.66,223.13,313.03,318.05,326.85,330.63,341.94,346.97,353.25,363.31,369.59,379.65,384.68,
NL,DE,53,Import,74.01,95.18,105.75,158.62,177.66,223.13,313.03,321.83,340.68,349.48,359.54,364.57,369.59,380.91,385.93,395.99,401.03,
NL,DE,54,Import,79.31,105.75,121.62,186.12,208.33,264.38,367.08,373.37,385.93,395.99,413.59,423.65,432.45,450.05,460.11,477.71,486.51,
NL,DE,55,Import,77.20,101.52,114.21,174.49,195.63,247.46,368.34,382.17,409.83,422.39,442.51,452.57,461.37,480.23,490.28,512.91,522.97,
NL,DE,56,Import,77.20,101.52,114.21,174.49,195.63,247.46,349.48,360.79,380.91,390.97,408.57,418.63,426.17,443.77,453.83,471.43,478.97,
NL,DE,57,Import,75.09,98.34,109.99,166.02,186.12,233.71,349.48,359.54,379.65,388.45,406.05,414.85,423.65,441.25,450.05,466.39,475.19,
NL,DE,58,Import,74.01,95.18,105.75,158.62,177.66,223.13,326.85,334.39,349.48,357.03,365.83,370.85,374.63,383.43,387.19,395.99,399.77,
NL,DE,59,Import,75.09,98.34,109.99,166.02,186.12,233.71,346.97,348.23,350.74,351.99,360.79,364.57,368.34,377.14,382.17,390.97,394.73,
NL,DE,60,Import,77.20,100.46,114.21,173.43,194.59,244.29,383.43,394.73,414.85,423.65,439.99,448.79,456.33,471.43,480.23,495.31,504.11,
NL,DE,61,Import,77.20,100.46,114.21,173.43,194.59,244.29,384.68,395.99,417.37,427.43,442.51,451.31,458.85,475.19,483.99,500.33,509.13,
NL,DE,63,Import,75.09,97.29,107.86,163.92,184.01,228.43,398.51,408.57,427.43,434.97,451.31,460.11,467.65,485.25,492.79,512.91,521.71,
NL,DE,64,Import,75.09,97.29,107.86,163.92,184.01,228.43,412.33,422.39,441.25,450.05,466.39,475.19,482.73,499.08,509.13,529.25,538.05,
NL,DE,65,Import,77.20,101.52,114.21,174.49,195.63,247.46,364.57,378.39,407.31,419.89,439.99,451.31,460.11,480.23,491.53,514.17,525.48,
