Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0,LDM-10.4,LDM-10.5,LDM-10.8,LDM-11.0,LDM-11.2,LDM-11.5,LDM-11.6,LDM-12.0,LDM-12.4,LDM-12.5,LDM-12.8,LDM-13.6
NL,ES,24,Export,€198,€251,€337,€385,€433,€503,€524,€615,€706,€728,€792,€835,€877,€942,€963,€1049,€1129,€1150,€1209,€1252,€1289,€1343,€1359,€1434,€1509,€1525,€1578,€1616,€1648,€1701,€1717,€1787,€1851,€1867,€1915,€1947,€1980,€2028,€2044,€2108,€2172,€2188,€2231,€2263,€2290,€2338,€2349,€2408,€2461,€2472,€2488,€2515
NL,ES,25,Export,€155,€198,€264,€315,€354,€404,€416,€472,€529,€539,€584,€612,€642,€686,€698,€753,€808,€821,€860,€888,€914,€956,€966,€1017,€1071,€1084,€1124,€1151,€1173,€1208,€1221,€1270,€1316,€1326,€1364,€1388,€1411,€1450,€1459,€1505,€1554,€1568,€1599,€1618,€1641,€1675,€1684,€1725,€1751,€1758,€1774,€1785
NL,ES,26,Export,€155,€198,€264,€315,€354,€404,€416,€472,€529,€539,€584,€612,€642,€686,€698,€753,€808,€821,€860,€888,€914,€956,€966,€1017,€1071,€1084,€1124,€1151,€1173,€1208,€1221,€1270,€1316,€1326,€1364,€1388,€1411,€1450,€1459,€1505,€1554,€1568,€1599,€1618,€1641,€1675,€1684,€1725,€1751,€1758,€1774,€1785
NL,ES,27,Export,€209,€262,€353,€401,€449,€524,€551,€653,€754,€781,€856,€904,€952,€1027,€1049,€1145,€1241,€1268,€1338,€1386,€1434,€1503,€1525,€1616,€1701,€1717,€1782,€1819,€1856,€1910,€1931,€2001,€2076,€2097,€2151,€2188,€2226,€2284,€2301,€2375,€2450,€2466,€2520,€2557,€2589,€2643,€2659,€2729,€2782,€2793,€2809,€2835
NL,ES,28,Export,€155,€193,€275,€326,€371,€422,€439,€506,€574,€590,€641,€674,€708,€759,€776,€843,€904,€921,€966,€1000,€1028,€1079,€1090,€1151,€1208,€1225,€1264,€1293,€1320,€1360,€1376,€1427,€1478,€1495,€1528,€1556,€1578,€1618,€1630,€1680,€1730,€1747,€1780,€1809,€1832,€1870,€1882,€1927,€1967,€1994,€1994,€2020
NL,ES,29,Export,€209,€262,€353,€401,€449,€524,€551,€653,€754,€781,€856,€904,€952,€1027,€1049,€1145,€1241,€1268,€1338,€1386,€1434,€1503,€1525,€1616,€1701,€1717,€1782,€1819,€1856,€1910,€1931,€2001,€2076,€2097,€2151,€2188,€2226,€2284,€2301,€2375,€2450,€2466,€2520,€2557,€2589,€2643,€2659,€2729,€2782,€2793,€2809,€2835
NL,ES,30,Export,€198,€251,€337,€385,€433,€503,€524,€615,€706,€728,€792,€835,€877,€942,€963,€1049,€1129,€1150,€1209,€1252,€1289,€1343,€1359,€1434,€1509,€1525,€1578,€1616,€1648,€1701,€1717,€1787,€1851,€1867,€1915,€1947,€1980,€2028,€2044,€2108,€2172,€2188,€2231,€2263,€2290,€2338,€2349,€2408,€2461,€2472,€2488,€2515
NL,ES,31,Export,€155,€198,€264,€315,€354,€404,€416,€472,€529,€539,€584,€612,€642,€686,€698,€753,€808,€821,€860,€888,€914,€956,€966,€1017,€1071,€1084,€1124,€1151,€1173,€1208,€1221,€1270,€1316,€1326,€1364,€1388,€1411,€1450,€1459,€1505,€1554,€1568,€1599,€1618,€1641,€1675,€1684,€1725,€1751,€1758,€1774,€1785
NL,ES,32,Export,€209,€262,€353,€401,€449,€524,€551,€653,€754,€781,€856,€904,€952,€1027,€1049,€1145,€1241,€1268,€1338,€1386,€1434,€1503,€1525,€1616,€1701,€1717,€1782,€1819,€1856,€1910,€1931,€2001,€2076,€2097,€2151,€2188,€2226,€2284,€2301,€2375,€2450,€2466,€2520,€2557,€2589,€2643,€2659,€2729,€2782,€2793,€2809,€2835
NL,ES,33,Export,€198,€251,€337,€385,€433,€503,€524,€615,€706,€728,€792,€835,€877,€942,€963,€1049,€1129,€1150,€1209,€1252,€1289,€1343,€1359,€1434,€1509,€1525,€1578,€1616,€1648,€1701,€1717,€1787,€1851,€1867,€1915,€1947,€1980,€2028,€2044,€2108,€2172,€2188,€2231,€2263,€2290,€2338,€2349,€2408,€2461,€2472,€2488,€2515
