Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-0.9,LDM-1.0,LDM-1.1,LDM-1.2,LDM-1.3,LDM-1.4,LDM-1.5,LDM-1.6,LDM-1.7,LDM-1.8,LDM-1.9,LDM-2.0,LDM-2.1,LDM-2.2,LDM-2.3,LDM-2.4,LDM-2.5,LDM-2.6,LDM-2.7,LDM-2.8,LDM-2.9,LDM-3.0,LDM-3.1,LDM-3.2,LDM-3.3,LDM-3.4,LDM-3.5,LDM-3.6,LDM-3.7,LDM-3.8,LDM-3.9,LDM-4.0,LDM-4.1,LDM-4.2,LDM-4.3,LDM-4.4,LDM-4.5,LDM-4.6,LDM-4.7,LDM-4.8,LDM-4.9,LDM-5.0,LDM-5.1,LDM-5.2,LDM-5.3,LDM-5.4,LDM-5.5,LDM-5.6,LDM-5.7,LDM-5.8,LDM-5.9,LDM-6.0
NL,NO,11,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,12,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,13,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,14,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,15,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,16,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,17,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,18,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,19,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,20,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,21,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,22,Export,€251,€269,€274,€277,€281,€286,€295,€307,€314,€340,€366,€393,€419,€445,€471,€497,€524,€550,€576,€602,€628,€654,€681,€707,€733,€759,€785,€811,€838,€864,€890,€916,€942,€969,€995,"€1,021","€1,047","€1,073","€1,099","€1,126","€1,152","€1,178","€1,204","€1,230","€1,257","€1,283","€1,309","€1,335","€1,361","€1,387","€1,414","€1,440","€1,466","€1,492","€1,518","€1,544","€1,571"
NL,NO,23,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,24,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,25,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,26,Export,€294,€315,€321,€325,€325,€332,€342,€355,€368,€398,€429,€460,€490,€521,€552,€582,€613,€644,€674,€705,€736,€766,€797,€827,€858,€889,€919,€950,€981,"€1,011","€1,042","€1,073","€1,103","€1,134","€1,165","€1,195","€1,226","€1,257","€1,287","€1,318","€1,348","€1,379","€1,410","€1,440","€1,471","€1,502","€1,532","€1,563","€1,594","€1,624","€1,655","€1,686","€1,716","€1,747","€1,777","€1,808","€1,839"
NL,NO,27,Export,€294,€315,€321,€325,€325,€332,€342,€355,€368,€398,€429,€460,€490,€521,€552,€582,€613,€644,€674,€705,€736,€766,€797,€827,€858,€889,€919,€950,€981,"€1,011","€1,042","€1,073","€1,103","€1,134","€1,165","€1,195","€1,226","€1,257","€1,287","€1,318","€1,348","€1,379","€1,410","€1,440","€1,471","€1,502","€1,532","€1,563","€1,594","€1,624","€1,655","€1,686","€1,716","€1,747","€1,777","€1,808","€1,839"
NL,NO,28,Export,€294,€315,€321,€325,€325,€332,€342,€355,€368,€398,€429,€460,€490,€521,€552,€582,€613,€644,€674,€705,€736,€766,€797,€827,€858,€889,€919,€950,€981,"€1,011","€1,042","€1,073","€1,103","€1,134","€1,165","€1,195","€1,226","€1,257","€1,287","€1,318","€1,348","€1,379","€1,410","€1,440","€1,471","€1,502","€1,532","€1,563","€1,594","€1,624","€1,655","€1,686","€1,716","€1,747","€1,777","€1,808","€1,839"
NL,NO,29,Export,€294,€315,€321,€325,€325,€332,€342,€355,€368,€398,€429,€460,€490,€521,€552,€582,€613,€644,€674,€705,€736,€766,€797,€827,€858,€889,€919,€950,€981,"€1,011","€1,042","€1,073","€1,103","€1,134","€1,165","€1,195","€1,226","€1,257","€1,287","€1,318","€1,348","€1,379","€1,410","€1,440","€1,471","€1,502","€1,532","€1,563","€1,594","€1,624","€1,655","€1,686","€1,716","€1,747","€1,777","€1,808","€1,839"
NL,NO,30,Export,€276,€295,€301,€305,€305,€311,€320,€333,€345,€374,€402,€431,€460,€488,€517,€546,€575,€603,€632,€661,€690,€718,€747,€776,€804,€833,€862,€891,€919,€948,€977,"€1,006","€1,034","€1,063","€1,092","€1,121","€1,149","€1,178","€1,207","€1,235","€1,264","€1,293","€1,322","€1,350","€1,379","€1,408","€1,437","€1,465","€1,494","€1,523","€1,551","€1,580","€1,609","€1,638","€1,666","€1,695","€1,724"
NL,NO,31,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,32,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
