Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0
NL,DE,77,Export,"€75,84","€111,03","€172,80","€207,63","€309,75","€294,20","€362,18","€430,16","€498,14","€566,12","€608,99","€662,76","€696,37","€732,67","€783,75","€802,58","€871,14","€906,09","€922,22","€958,52","€974,65","€992,13","€1.028,43","€1.045,91","€1.079,51","€1.114,47","€1.133,29","€1.168,23","€1.183,03","€1.200,51","€1.222,01","€1.238,14","€1.271,75","€1.305,37","€1.324,18","€1.359,13","€1.376,61","€1.394,09","€1.429,04","€1.446,52","€1.480,12"
NL,DE,80,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,81,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,82,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,83,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,84,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,85,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,86,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,87,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,88,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,89,Export,"€75,84","€111,03","€172,80","€207,63","€309,75","€294,20","€362,18","€430,16","€498,14","€566,12","€608,99","€662,76","€696,37","€732,67","€783,75","€802,58","€871,14","€906,09","€922,22","€958,52","€974,65","€992,13","€1.028,43","€1.045,91","€1.079,51","€1.114,47","€1.133,29","€1.168,23","€1.183,03","€1.200,51","€1.222,01","€1.238,14","€1.271,75","€1.305,37","€1.324,18","€1.359,13","€1.376,61","€1.394,09","€1.429,04","€1.446,52","€1.480,12"
