Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6
NL,AT,10,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,11,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,12,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,13,Export,87.27,119.36,136.43,208.65,242.75,298.94,530.86,571.87,631.63,650.38,727.72,769.91,803.90,870.70,904.67,971.48,1003.11
NL,AT,20,Export,87.27,120.38,137.42,211.66,246.77,304.95,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,21,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,22,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,23,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,24,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,25,Export,87.27,119.36,136.43,208.65,242.75,298.94,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,26,Export,87.27,119.36,136.43,208.65,242.75,298.94,530.86,571.87,631.63,650.38,727.72,769.91,803.90,870.70,904.67,971.48,1003.11
NL,AT,27,Export,87.27,120.38,137.42,211.66,246.77,304.95,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88
NL,AT,28,Export,87.27,120.38,137.42,211.66,246.77,304.95,509.76,549.60,605.84,623.42,696.09,734.75,769.91,830.85,862.49,924.60,955.06
NL,AT,30,Export,87.27,119.36,135.42,207.65,240.75,295.91,505.07,541.40,595.31,612.89,665.63,703.12,735.94,800.39,830.85,889.44,917.57
NL,AT,31,Export,87.27,118.37,135.42,206.65,239.74,293.91,505.07,541.40,595.31,612.89,665.63,703.12,735.94,800.39,830.85,889.44,917.57
NL,AT,32,Export,87.27,118.37,135.42,206.65,239.74,293.91,505.07,541.40,595.31,612.89,665.63,703.12,735.94,800.39,830.85,889.44,917.57
NL,AT,33,Export,87.27,118.37,135.42,206.65,239.74,293.91,499.21,537.89,592.96,610.54,682.02,719.52,753.52,816.78,847.26,908.19,937.49
NL,AT,34,Export,87.27,119.36,135.42,207.65,240.75,295.91,505.07,541.40,595.31,612.89,665.63,703.12,735.94,800.39,830.85,889.44,917.57
NL,AT,35,Export,87.27,119.36,135.42,207.65,240.75,295.91,505.07,541.40,595.31,612.89,665.63,703.12,735.94,800.39,830.85,889.44,917.57
NL,AT,36,Export,87.27,118.37,135.42,206.65,239.74,293.91,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,37,Export,87.27,119.36,136.43,208.65,242.75,298.94,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,38,Export,87.27,119.36,135.42,207.65,240.75,295.91,505.07,541.40,595.31,612.89,665.63,703.12,735.94,800.39,830.85,889.44,917.57
NL,AT,39,Export,87.27,119.36,135.42,207.65,240.75,295.91,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,40,Export,86.28,118.37,134.42,205.63,236.75,290.90,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,41,Export,87.27,118.37,135.42,206.65,239.74,293.91,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,42,Export,86.28,118.37,134.42,205.63,236.75,290.90,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,43,Export,86.28,118.37,134.42,205.63,236.75,290.90,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,44,Export,87.27,118.37,135.42,206.65,239.74,293.91,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,45,Export,87.27,118.37,135.42,206.65,239.74,293.91,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,46,Export,79.24,106.33,121.38,181.57,208.65,257.80,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,47,Export,79.24,106.33,121.38,181.57,208.65,257.80,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,48,Export,79.24,106.33,121.38,181.57,208.65,257.80,475.77,509.76,561.33,576.55,626.95,662.10,693.74,759.37,789.83,844.91,871.86
NL,AT,49,Export,79.24,106.33,121.38,181.57,208.65,257.80,496.87,533.20,585.93,602.34,655.07,690.23,723.04,788.67,819.14,876.55,904.67
NL,AT,50,Export,86.28,118.37,134.42,205.63,236.75,290.90,496.87,533.20,585.93,602.34,655.07,690.23,723.04,788.67,819.14,876.55,904.67
NL,AT,51,Export,86.28,118.37,134.42,205.63,236.75,290.90,496.87,533.20,585.93,602.34,655.07,690.23,723.04,788.67,819.14,876.55,904.67
NL,AT,52,Export,86.28,118.37,134.42,205.63,236.75,290.90,496.87,533.20,585.93,602.34,655.07,690.23,723.04,788.67,819.14,876.55,904.67
NL,AT,53,Export,86.28,118.37,134.42,205.63,236.75,290.90,496.87,533.20,585.93,602.34,655.07,690.23,723.04,788.67,819.14,876.55,904.67
NL,AT,54,Export,86.28,118.37,134.42,205.63,236.75,290.90,499.21,537.89,592.96,610.54,682.02,719.52,753.52,816.78,847.26,908.19,937.49
NL,AT,55,Export,87.27,119.36,135.42,207.65,240.75,295.91,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,56,Export,87.27,119.36,135.42,207.65,240.75,295.91,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,57,Export,87.27,119.36,135.42,207.65,240.75,295.91,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,60,Export,87.27,119.36,136.43,208.65,242.75,298.94,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,61,Export,87.27,119.36,136.43,208.65,242.75,298.94,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,62,Export,87.27,119.36,136.43,208.65,242.75,298.94,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,63,Export,87.27,119.36,136.43,208.65,242.75,298.94,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,64,Export,87.27,119.36,136.43,208.65,242.75,298.94,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,65,Export,87.27,119.36,136.43,208.65,242.75,298.94,508.59,546.09,602.34,619.92,693.74,731.25,766.40,828.50,860.15,921.08,950.37
NL,AT,66,Export,87.27,119.36,136.43,208.65,242.75,298.94,488.66,525.00,576.55,592.96,644.53,679.68,712.50,778.12,807.41,864.84,892.96
NL,AT,67,Export,87.27,120.38,137.42,211.66,246.77,304.95,499.21,537.89,592.96,610.54,682.02,719.52,753.52,816.78,847.26,908.19,937.49
NL,AT,68,Export,87.27,120.38,137.42,211.66,246.77,304.95,499.21,537.89,592.96,610.54,682.02,719.52,753.52,816.78,847.26,908.19,937.49
NL,AT,69,Export,87.27,120.38,137.42,211.66,246.77,304.95,499.21,537.89,592.96,610.54,682.02,719.52,753.52,816.78,847.26,908.19,937.49
NL,AT,70,Export,87.27,120.38,137.42,211.66,246.77,304.95,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,71,Export,87.27,120.38,137.42,211.66,246.77,304.95,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,72,Export,87.27,120.38,137.42,211.66,246.77,304.95,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,73,Export,87.27,120.38,137.42,211.66,246.77,304.95,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,74,Export,87.27,120.38,137.42,211.66,246.77,304.95,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,75,Export,87.27,120.38,137.42,211.66,246.77,304.95,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,80,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,81,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,82,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,83,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,84,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,85,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,86,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,87,Export,87.27,119.36,135.42,207.65,240.75,295.91,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,88,Export,87.27,119.36,136.43,208.65,242.75,298.94,551.95,594.13,655.07,675.00,754.68,793.34,828.50,897.65,933.97,1003.11,1035.93
NL,AT,89,Export,87.27,119.36,136.43,208.65,242.75,298.94,564.84,608.20,673.82,693.74,775.76,815.61,851.94,925.77,965.62,1040.62,1076.95
NL,AT,90,Export,87.27,120.38,137.42,211.66,246.77,304.95,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,91,Export,87.27,119.36,136.43,208.65,242.75,298.94,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,92,Export,87.27,120.38,137.42,211.66,246.77,304.95,554.29,597.65,658.58,678.51,759.37,799.20,834.36,903.50,938.66,1008.97,1044.13
NL,AT,93,Export,87.27,119.36,136.43,208.65,242.75,298.94,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,94,Export,87.27,120.38,137.42,211.66,246.77,304.95,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,95,Export,87.27,119.36,136.43,208.65,242.75,298.94,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,96,Export,87.27,120.38,137.42,211.66,246.77,304.95,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,97,Export,87.27,120.38,137.42,211.66,246.77,304.95,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,98,Export,87.27,120.38,137.42,211.66,246.77,304.95,568.35,612.89,677.34,697.25,780.45,820.30,856.63,932.80,971.48,1046.48,1082.80
NL,AT,99,Export,87.27,120.38,137.42,211.66,246.77,304.95,573.04,616.40,682.02,701.94,785.14,824.99,862.49,937.49,977.33,1053.51,1089.84
NL,BE,10,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
